Thread 0: 0.000008 s, 0.015136 GiB/s 
Thread 13: 0.000013 s, 0.169650 GiB/s 
Thread 14: 0.000013 s, 0.169650 GiB/s 
Thread 15: 0.000013 s, 0.169650 GiB/s 
Thread 16: 0.000013 s, 0.169650 GiB/s 
Thread 17: 0.000013 s, 0.169650 GiB/s 
Thread 18: 0.000013 s, 0.169650 GiB/s 
Thread 19: 0.000013 s, 0.169652 GiB/s 
Thread 20: 0.000013 s, 0.169654 GiB/s 
Thread 21: 0.000013 s, 0.169650 GiB/s 
Thread 22: 0.000013 s, 0.169650 GiB/s 
Thread 23: 0.000013 s, 0.169653 GiB/s 
Thread 24: 0.000013 s, 0.169652 GiB/s 
Thread 25: 0.000013 s, 0.169653 GiB/s 
Thread 26: 0.000013 s, 0.169650 GiB/s 
Thread 27: 0.000013 s, 0.169650 GiB/s 
Executable:./../bin/adapt_membench_stencil_3d_untiled_schedule_static,wss:66560,num_threads:28,ntimes:10000,
NumberOfThreads:28,n(elements):16.000000,AvgTestRunTime(s):0.000013,CumulativeMemoryBandwidth(GiB/s):4.749668,TotalRunTime(s):0.128504,WSS(MiB):0.062500,Verification:SUCCESS,
Thread 0: 0.000015 s, 0.174482 GiB/s 
Thread 1: 0.000015 s, 0.174483 GiB/s 
Thread 2: 0.000015 s, 0.174480 GiB/s 
Thread 3: 0.000015 s, 0.174482 GiB/s 
Thread 4: 0.000015 s, 0.174483 GiB/s 
Thread 5: 0.000015 s, 0.174480 GiB/s 
Thread 6: 0.000015 s, 0.174495 GiB/s 
Thread 7: 0.000015 s, 0.174480 GiB/s 
Thread 8: 0.000015 s, 0.174480 GiB/s 
Thread 9: 0.000015 s, 0.174480 GiB/s 
Thread 10: 0.000015 s, 0.174481 GiB/s 
Thread 11: 0.000015 s, 0.174494 GiB/s 
Thread 12: 0.000015 s, 0.174481 GiB/s 
Thread 13: 0.000015 s, 0.174482 GiB/s 
Thread 14: 0.000015 s, 0.174479 GiB/s 
Thread 15: 0.000015 s, 0.174480 GiB/s 
Thread 16: 0.000015 s, 0.174480 GiB/s 
Thread 17: 0.000015 s, 0.174479 GiB/s 
Thread 18: 0.000015 s, 0.174489 GiB/s 
Thread 19: 0.000015 s, 0.174483 GiB/s 
Thread 20: 0.000015 s, 0.174490 GiB/s 
Thread 21: 0.000015 s, 0.174481 GiB/s 
Thread 22: 0.000015 s, 0.174481 GiB/s 
Thread 23: 0.000015 s, 0.174479 GiB/s 
Thread 24: 0.000015 s, 0.174480 GiB/s 
Thread 25: 0.000015 s, 0.174483 GiB/s 
Thread 26: 0.000015 s, 0.174483 GiB/s 
Thread 27: 0.000015 s, 0.174483 GiB/s 
Executable:./../bin/adapt_membench_stencil_3d_untiled_schedule_static,wss:87040,num_threads:28,ntimes:10000,
NumberOfThreads:28,n(elements):17.000000,AvgTestRunTime(s):0.000015,CumulativeMemoryBandwidth(GiB/s):4.883783,TotalRunTime(s):0.149903,WSS(MiB):0.074966,Verification:SUCCESS,
Thread 0: 0.000013 s, 0.245345 GiB/s 
Thread 1: 0.000013 s, 0.245347 GiB/s 
Thread 2: 0.000013 s, 0.245358 GiB/s 
Thread 3: 0.000013 s, 0.245338 GiB/s 
Thread 4: 0.000013 s, 0.245297 GiB/s 
Thread 5: 0.000013 s, 0.245317 GiB/s 
Thread 6: 0.000013 s, 0.245312 GiB/s 
Thread 7: 0.000013 s, 0.245360 GiB/s 
Thread 8: 0.000013 s, 0.245301 GiB/s 
Thread 9: 0.000013 s, 0.245339 GiB/s 
Thread 10: 0.000013 s, 0.245332 GiB/s 
Thread 11: 0.000013 s, 0.248291 GiB/s 
Thread 12: 0.000013 s, 0.245329 GiB/s 
Thread 13: 0.000013 s, 0.245321 GiB/s 
Thread 14: 0.000013 s, 0.245335 GiB/s 
Thread 15: 0.000013 s, 0.245303 GiB/s 
Thread 16: 0.000013 s, 0.245336 GiB/s 
Thread 17: 0.000013 s, 0.245312 GiB/s 
Thread 18: 0.000013 s, 0.245309 GiB/s 
Thread 19: 0.000013 s, 0.245324 GiB/s 
Thread 20: 0.000013 s, 0.245350 GiB/s 
Thread 21: 0.000013 s, 0.245295 GiB/s 
Thread 22: 0.000013 s, 0.245300 GiB/s 
Thread 23: 0.000013 s, 0.245300 GiB/s 
Thread 24: 0.000013 s, 0.245298 GiB/s 
Thread 25: 0.000013 s, 0.245299 GiB/s 
Thread 26: 0.000013 s, 0.245299 GiB/s 
Thread 27: 0.000013 s, 0.245295 GiB/s 
Executable:./../bin/adapt_membench_stencil_3d_untiled_schedule_static,wss:107520,num_threads:28,ntimes:10000,
NumberOfThreads:28,n(elements):18.000000,AvgTestRunTime(s):0.000013,CumulativeMemoryBandwidth(GiB/s):6.786269,TotalRunTime(s):0.128058,WSS(MiB):0.088989,Verification:SUCCESS,
Thread 0: 0.000015 s, 0.275325 GiB/s 
Thread 1: 0.000015 s, 0.275327 GiB/s 
Thread 2: 0.000015 s, 0.275329 GiB/s 
Thread 3: 0.000015 s, 0.275373 GiB/s 
Thread 4: 0.000015 s, 0.275327 GiB/s 
Thread 5: 0.000015 s, 0.275341 GiB/s 
Thread 6: 0.000015 s, 0.275350 GiB/s 
Thread 7: 0.000015 s, 0.275364 GiB/s 
Thread 8: 0.000015 s, 0.275328 GiB/s 
Thread 9: 0.000015 s, 0.275352 GiB/s 
Thread 10: 0.000015 s, 0.275353 GiB/s 
Thread 11: 0.000015 s, 0.275355 GiB/s 
Thread 12: 0.000015 s, 0.278078 GiB/s 
Thread 13: 0.000015 s, 0.275375 GiB/s 
Thread 14: 0.000015 s, 0.275342 GiB/s 
Thread 15: 0.000015 s, 0.275326 GiB/s 
Thread 16: 0.000015 s, 0.275358 GiB/s 
Thread 17: 0.000015 s, 0.275329 GiB/s 
Thread 18: 0.000015 s, 0.275354 GiB/s 
Thread 19: 0.000015 s, 0.275328 GiB/s 
Thread 20: 0.000015 s, 0.275324 GiB/s 
Thread 21: 0.000015 s, 0.275356 GiB/s 
Thread 22: 0.000015 s, 0.275324 GiB/s 
Thread 23: 0.000015 s, 0.275327 GiB/s 
Thread 24: 0.000015 s, 0.275339 GiB/s 
Thread 25: 0.000015 s, 0.275328 GiB/s 
Thread 26: 0.000015 s, 0.275328 GiB/s 
Thread 27: 0.000015 s, 0.275365 GiB/s 
Executable:./../bin/adapt_membench_stencil_3d_untiled_schedule_static,wss:128000,num_threads:28,ntimes:10000,
NumberOfThreads:28,n(elements):20.000000,AvgTestRunTime(s):0.000016,CumulativeMemoryBandwidth(GiB/s):7.633751,TotalRunTime(s):0.156161,WSS(MiB):0.122070,Verification:SUCCESS,
Thread 0: 0.000014 s, 0.352969 GiB/s 
Thread 1: 0.000014 s, 0.352973 GiB/s 
Thread 2: 0.000014 s, 0.352962 GiB/s 
Thread 3: 0.000014 s, 0.353040 GiB/s 
Thread 4: 0.000014 s, 0.352950 GiB/s 
Thread 5: 0.000014 s, 0.353032 GiB/s 
Thread 6: 0.000014 s, 0.352979 GiB/s 
Thread 7: 0.000014 s, 0.352968 GiB/s 
Thread 8: 0.000014 s, 0.352972 GiB/s 
Thread 9: 0.000014 s, 0.352998 GiB/s 
Thread 10: 0.000014 s, 0.352973 GiB/s 
Thread 11: 0.000014 s, 0.352994 GiB/s 
Thread 12: 0.000014 s, 0.352966 GiB/s 
Thread 13: 0.000014 s, 0.352989 GiB/s 
Thread 14: 0.000014 s, 0.352982 GiB/s 
Thread 15: 0.000014 s, 0.352984 GiB/s 
Thread 16: 0.000014 s, 0.356874 GiB/s 
Thread 17: 0.000014 s, 0.352978 GiB/s 
Thread 18: 0.000014 s, 0.353008 GiB/s 
Thread 19: 0.000014 s, 0.352967 GiB/s 
Thread 20: 0.000014 s, 0.353025 GiB/s 
Thread 21: 0.000014 s, 0.353044 GiB/s 
Thread 22: 0.000014 s, 0.356885 GiB/s 
Thread 23: 0.000014 s, 0.353004 GiB/s 
Thread 24: 0.000014 s, 0.356907 GiB/s 
Thread 25: 0.000014 s, 0.352959 GiB/s 
Thread 26: 0.000014 s, 0.353038 GiB/s 
Thread 27: 0.000014 s, 0.356867 GiB/s 
Executable:./../bin/adapt_membench_stencil_3d_untiled_schedule_static,wss:148480,num_threads:28,ntimes:10000,
NumberOfThreads:28,n(elements):21.000000,AvgTestRunTime(s):0.000014,CumulativeMemoryBandwidth(GiB/s):9.776809,TotalRunTime(s):0.141150,WSS(MiB):0.141312,Verification:SUCCESS,
Thread 0: 0.000013 s, 0.370021 GiB/s 
Thread 1: 0.000013 s, 0.370053 GiB/s 
Thread 2: 0.000013 s, 0.370164 GiB/s 
Thread 3: 0.000013 s, 0.370105 GiB/s 
Thread 4: 0.000013 s, 0.370042 GiB/s 
Thread 5: 0.000013 s, 0.370023 GiB/s 
Thread 6: 0.000013 s, 0.370110 GiB/s 
Thread 7: 0.000013 s, 0.370022 GiB/s 
Thread 8: 0.000013 s, 0.370088 GiB/s 
Thread 9: 0.000013 s, 0.370021 GiB/s 
Thread 10: 0.000013 s, 0.370030 GiB/s 
Thread 11: 0.000013 s, 0.370104 GiB/s 
Thread 12: 0.000013 s, 0.370024 GiB/s 
Thread 13: 0.000013 s, 0.370077 GiB/s 
Thread 14: 0.000013 s, 0.370079 GiB/s 
Thread 15: 0.000013 s, 0.370056 GiB/s 
Thread 16: 0.000013 s, 0.370068 GiB/s 
Thread 17: 0.000013 s, 0.370023 GiB/s 
Thread 18: 0.000013 s, 0.370064 GiB/s 
Thread 19: 0.000013 s, 0.370046 GiB/s 
Thread 20: 0.000013 s, 0.370091 GiB/s 
Thread 21: 0.000013 s, 0.370029 GiB/s 
Thread 22: 0.000013 s, 0.370020 GiB/s 
Thread 23: 0.000013 s, 0.370023 GiB/s 
Thread 24: 0.000013 s, 0.370096 GiB/s 
Thread 25: 0.000013 s, 0.370025 GiB/s 
Thread 26: 0.000013 s, 0.370020 GiB/s 
Thread 27: 0.000013 s, 0.370020 GiB/s 
Executable:./../bin/adapt_membench_stencil_3d_untiled_schedule_static,wss:168960,num_threads:28,ntimes:10000,
NumberOfThreads:28,n(elements):21.000000,AvgTestRunTime(s):0.000013,CumulativeMemoryBandwidth(GiB/s):10.243291,TotalRunTime(s):0.134722,WSS(MiB):0.141312,Verification:SUCCESS,
Thread 0: 0.000015 s, 0.375046 GiB/s 
Thread 1: 0.000015 s, 0.375050 GiB/s 
Thread 2: 0.000015 s, 0.375046 GiB/s 
Thread 3: 0.000015 s, 0.375046 GiB/s 
Thread 4: 0.000015 s, 0.375049 GiB/s 
Thread 5: 0.000015 s, 0.375049 GiB/s 
Thread 6: 0.000015 s, 0.375049 GiB/s 
Thread 7: 0.000015 s, 0.375046 GiB/s 
Thread 8: 0.000015 s, 0.375046 GiB/s 
Thread 9: 0.000015 s, 0.375050 GiB/s 
Thread 10: 0.000015 s, 0.375053 GiB/s 
Thread 11: 0.000015 s, 0.375048 GiB/s 
Thread 12: 0.000015 s, 0.375050 GiB/s 
Thread 13: 0.000015 s, 0.375045 GiB/s 
Thread 14: 0.000015 s, 0.375052 GiB/s 
Thread 15: 0.000015 s, 0.375046 GiB/s 
Thread 16: 0.000015 s, 0.375047 GiB/s 
Thread 17: 0.000015 s, 0.375047 GiB/s 
Thread 18: 0.000015 s, 0.375053 GiB/s 
Thread 19: 0.000015 s, 0.375048 GiB/s 
Thread 20: 0.000015 s, 0.375051 GiB/s 
Thread 21: 0.000015 s, 0.375051 GiB/s 
Thread 22: 0.000015 s, 0.375047 GiB/s 
Thread 23: 0.000015 s, 0.375046 GiB/s 
Thread 24: 0.000015 s, 0.375047 GiB/s 
Thread 25: 0.000015 s, 0.375045 GiB/s 
Thread 26: 0.000015 s, 0.375046 GiB/s 
Thread 27: 0.000015 s, 0.375049 GiB/s 
Executable:./../bin/adapt_membench_stencil_3d_untiled_schedule_static,wss:189440,num_threads:28,ntimes:10000,
NumberOfThreads:28,n(elements):22.000000,AvgTestRunTime(s):0.000015,CumulativeMemoryBandwidth(GiB/s):10.498336,TotalRunTime(s):0.151136,WSS(MiB):0.162476,Verification:SUCCESS,
Thread 0: 0.000018 s, 0.357077 GiB/s 
Thread 1: 0.000018 s, 0.354124 GiB/s 
Thread 2: 0.000018 s, 0.357097 GiB/s 
Thread 3: 0.000018 s, 0.354163 GiB/s 
Thread 4: 0.000018 s, 0.354135 GiB/s 
Thread 5: 0.000018 s, 0.354138 GiB/s 
Thread 6: 0.000018 s, 0.354163 GiB/s 
Thread 7: 0.000018 s, 0.354183 GiB/s 
Thread 8: 0.000018 s, 0.354130 GiB/s 
Thread 9: 0.000018 s, 0.354174 GiB/s 
Thread 10: 0.000018 s, 0.354138 GiB/s 
Thread 11: 0.000018 s, 0.354137 GiB/s 
Thread 12: 0.000018 s, 0.354162 GiB/s 
Thread 13: 0.000018 s, 0.354155 GiB/s 
Thread 14: 0.000018 s, 0.354122 GiB/s 
Thread 15: 0.000018 s, 0.354150 GiB/s 
Thread 16: 0.000018 s, 0.354153 GiB/s 
Thread 17: 0.000018 s, 0.354148 GiB/s 
Thread 18: 0.000018 s, 0.354178 GiB/s 
Thread 19: 0.000018 s, 0.354173 GiB/s 
Thread 20: 0.000018 s, 0.354171 GiB/s 
Thread 21: 0.000018 s, 0.354148 GiB/s 
Thread 22: 0.000018 s, 0.354161 GiB/s 
Thread 23: 0.000018 s, 0.354133 GiB/s 
Thread 24: 0.000018 s, 0.354187 GiB/s 
Thread 25: 0.000018 s, 0.354109 GiB/s 
Thread 26: 0.000018 s, 0.354189 GiB/s 
Thread 27: 0.000018 s, 0.354199 GiB/s 
Executable:./../bin/adapt_membench_stencil_3d_untiled_schedule_static,wss:209920,num_threads:28,ntimes:10000,
NumberOfThreads:28,n(elements):23.000000,AvgTestRunTime(s):0.000018,CumulativeMemoryBandwidth(GiB/s):9.832345,TotalRunTime(s):0.184394,WSS(MiB):0.185654,Verification:SUCCESS,
Thread 0: 0.000015 s, 0.493074 GiB/s 
Thread 1: 0.000015 s, 0.493067 GiB/s 
Thread 2: 0.000015 s, 0.493071 GiB/s 
Thread 3: 0.000015 s, 0.493077 GiB/s 
Thread 4: 0.000015 s, 0.493078 GiB/s 
Thread 5: 0.000015 s, 0.493068 GiB/s 
Thread 6: 0.000015 s, 0.493066 GiB/s 
Thread 7: 0.000015 s, 0.493069 GiB/s 
Thread 8: 0.000015 s, 0.493076 GiB/s 
Thread 9: 0.000015 s, 0.493065 GiB/s 
Thread 10: 0.000015 s, 0.493076 GiB/s 
Thread 11: 0.000015 s, 0.493072 GiB/s 
Thread 12: 0.000015 s, 0.493074 GiB/s 
Thread 13: 0.000015 s, 0.493091 GiB/s 
Thread 14: 0.000015 s, 0.493073 GiB/s 
Thread 15: 0.000015 s, 0.493072 GiB/s 
Thread 16: 0.000015 s, 0.493076 GiB/s 
Thread 17: 0.000015 s, 0.493099 GiB/s 
Thread 18: 0.000015 s, 0.493067 GiB/s 
Thread 19: 0.000015 s, 0.493067 GiB/s 
Thread 20: 0.000015 s, 0.493066 GiB/s 
Thread 21: 0.000015 s, 0.493072 GiB/s 
Thread 22: 0.000015 s, 0.493074 GiB/s 
Thread 23: 0.000015 s, 0.493067 GiB/s 
Thread 24: 0.000015 s, 0.493075 GiB/s 
Thread 25: 0.000015 s, 0.493066 GiB/s 
Thread 26: 0.000015 s, 0.493070 GiB/s 
Thread 27: 0.000015 s, 0.493064 GiB/s 
Executable:./../bin/adapt_membench_stencil_3d_untiled_schedule_static,wss:230400,num_threads:28,ntimes:10000,
NumberOfThreads:28,n(elements):24.000000,AvgTestRunTime(s):0.000015,CumulativeMemoryBandwidth(GiB/s):13.804321,TotalRunTime(s):0.149224,WSS(MiB):0.210938,Verification:SUCCESS,
Thread 0: 0.000020 s, 0.407416 GiB/s 
Thread 1: 0.000020 s, 0.407474 GiB/s 
Thread 2: 0.000020 s, 0.407490 GiB/s 
Thread 3: 0.000020 s, 0.407476 GiB/s 
Thread 4: 0.000020 s, 0.407467 GiB/s 
Thread 5: 0.000020 s, 0.407416 GiB/s 
Thread 6: 0.000020 s, 0.407441 GiB/s 
Thread 7: 0.000020 s, 0.407450 GiB/s 
Thread 8: 0.000020 s, 0.407461 GiB/s 
Thread 9: 0.000020 s, 0.407417 GiB/s 
Thread 10: 0.000020 s, 0.407459 GiB/s 
Thread 11: 0.000020 s, 0.407416 GiB/s 
Thread 12: 0.000020 s, 0.407415 GiB/s 
Thread 13: 0.000020 s, 0.407416 GiB/s 
Thread 14: 0.000020 s, 0.407464 GiB/s 
Thread 15: 0.000020 s, 0.407456 GiB/s 
Thread 16: 0.000020 s, 0.407417 GiB/s 
Thread 17: 0.000020 s, 0.407447 GiB/s 
Thread 18: 0.000020 s, 0.407416 GiB/s 
Thread 19: 0.000020 s, 0.407465 GiB/s 
Thread 20: 0.000020 s, 0.407416 GiB/s 
Thread 21: 0.000020 s, 0.407484 GiB/s 
Thread 22: 0.000020 s, 0.407469 GiB/s 
Thread 23: 0.000020 s, 0.407417 GiB/s 
Thread 24: 0.000020 s, 0.407417 GiB/s 
Thread 25: 0.000020 s, 0.407493 GiB/s 
Thread 26: 0.000020 s, 0.410517 GiB/s 
Thread 27: 0.000020 s, 0.407483 GiB/s 
Executable:./../bin/adapt_membench_stencil_3d_untiled_schedule_static,wss:250880,num_threads:28,ntimes:10000,
NumberOfThreads:28,n(elements):25.000000,AvgTestRunTime(s):0.000021,CumulativeMemoryBandwidth(GiB/s):11.323238,TotalRunTime(s):0.205622,WSS(MiB):0.238419,Verification:SUCCESS,
Thread 0: 0.000020 s, 0.420726 GiB/s 
Thread 1: 0.000020 s, 0.420689 GiB/s 
Thread 2: 0.000020 s, 0.420722 GiB/s 
Thread 3: 0.000020 s, 0.420714 GiB/s 
Thread 4: 0.000020 s, 0.420682 GiB/s 
Thread 5: 0.000020 s, 0.420720 GiB/s 
Thread 6: 0.000020 s, 0.420723 GiB/s 
Thread 7: 0.000020 s, 0.420688 GiB/s 
Thread 8: 0.000020 s, 0.420713 GiB/s 
Thread 9: 0.000020 s, 0.420724 GiB/s 
Thread 10: 0.000020 s, 0.420678 GiB/s 
Thread 11: 0.000020 s, 0.420718 GiB/s 
Thread 12: 0.000020 s, 0.420686 GiB/s 
Thread 13: 0.000020 s, 0.420689 GiB/s 
Thread 14: 0.000020 s, 0.420683 GiB/s 
Thread 15: 0.000020 s, 0.420721 GiB/s 
Thread 16: 0.000020 s, 0.420691 GiB/s 
Thread 17: 0.000020 s, 0.420685 GiB/s 
Thread 18: 0.000020 s, 0.420729 GiB/s 
Thread 19: 0.000020 s, 0.420681 GiB/s 
Thread 20: 0.000020 s, 0.420684 GiB/s 
Thread 21: 0.000020 s, 0.420686 GiB/s 
Thread 22: 0.000020 s, 0.420680 GiB/s 
Thread 23: 0.000020 s, 0.420689 GiB/s 
Thread 24: 0.000020 s, 0.420726 GiB/s 
Thread 25: 0.000020 s, 0.420724 GiB/s 
Thread 26: 0.000020 s, 0.420726 GiB/s 
Thread 27: 0.000020 s, 0.420689 GiB/s 
Executable:./../bin/adapt_membench_stencil_3d_untiled_schedule_static,wss:271360,num_threads:28,ntimes:10000,
NumberOfThreads:28,n(elements):25.000000,AvgTestRunTime(s):0.000020,CumulativeMemoryBandwidth(GiB/s):11.777974,TotalRunTime(s):0.197683,WSS(MiB):0.238419,Verification:SUCCESS,
Thread 0: 0.000018 s, 0.527315 GiB/s 
Thread 1: 0.000018 s, 0.527366 GiB/s 
Thread 2: 0.000018 s, 0.527321 GiB/s 
Thread 3: 0.000018 s, 0.527389 GiB/s 
Thread 4: 0.000018 s, 0.527319 GiB/s 
Thread 5: 0.000018 s, 0.531899 GiB/s 
Thread 6: 0.000018 s, 0.527337 GiB/s 
Thread 7: 0.000018 s, 0.527370 GiB/s 
Thread 8: 0.000018 s, 0.527318 GiB/s 
Thread 9: 0.000018 s, 0.527376 GiB/s 
Thread 10: 0.000018 s, 0.527350 GiB/s 
Thread 11: 0.000018 s, 0.527345 GiB/s 
Thread 12: 0.000018 s, 0.527333 GiB/s 
Thread 13: 0.000018 s, 0.527372 GiB/s 
Thread 14: 0.000018 s, 0.527319 GiB/s 
Thread 15: 0.000018 s, 0.527349 GiB/s 
Thread 16: 0.000018 s, 0.527389 GiB/s 
Thread 17: 0.000018 s, 0.527314 GiB/s 
Thread 18: 0.000018 s, 0.527391 GiB/s 
Thread 19: 0.000018 s, 0.527315 GiB/s 
Thread 20: 0.000018 s, 0.527411 GiB/s 
Thread 21: 0.000018 s, 0.527397 GiB/s 
Thread 22: 0.000018 s, 0.527317 GiB/s 
Thread 23: 0.000018 s, 0.527318 GiB/s 
Thread 24: 0.000018 s, 0.527364 GiB/s 
Thread 25: 0.000018 s, 0.527319 GiB/s 
Thread 26: 0.000018 s, 0.527383 GiB/s 
Thread 27: 0.000018 s, 0.527315 GiB/s 
Executable:./../bin/adapt_membench_stencil_3d_untiled_schedule_static,wss:291840,num_threads:28,ntimes:10000,
NumberOfThreads:28,n(elements):26.000000,AvgTestRunTime(s):0.000018,CumulativeMemoryBandwidth(GiB/s):14.640362,TotalRunTime(s):0.178891,WSS(MiB):0.268188,Verification:SUCCESS,
Thread 0: 0.000018 s, 0.532894 GiB/s 
Thread 1: 0.000018 s, 0.532906 GiB/s 
Thread 2: 0.000018 s, 0.532906 GiB/s 
Thread 3: 0.000018 s, 0.532894 GiB/s 
Thread 4: 0.000018 s, 0.532894 GiB/s 
Thread 5: 0.000018 s, 0.532895 GiB/s 
Thread 6: 0.000018 s, 0.532906 GiB/s 
Thread 7: 0.000018 s, 0.532918 GiB/s 
Thread 8: 0.000018 s, 0.532893 GiB/s 
