Thread 0: 0.000014 s, 0.011983 GiB/s 
Thread 21: 0.000016 s, 0.052256 GiB/s 
Thread 22: 0.000016 s, 0.052751 GiB/s 
Thread 23: 0.000016 s, 0.052753 GiB/s 
Thread 24: 0.000016 s, 0.052750 GiB/s 
Thread 25: 0.000016 s, 0.052751 GiB/s 
Thread 26: 0.000016 s, 0.052750 GiB/s 
Thread 27: 0.000016 s, 0.052281 GiB/s 
Executable:./../bin/adapt_membench_stencil_1d_naive,wss:25600,num_threads:28,ntimes:10000,
NumberOfThreads:28,n(elements):1600.000000,AvgTestRunTime(s):0.000016,CumulativeMemoryBandwidth(GiB/s):1.449908,TotalRunTime(s):0.164437,WSS(MiB):0.024414,Verification:SUCCESS,
Thread 0: 0.000015 s, 0.103628 GiB/s 
Thread 1: 0.000015 s, 0.102600 GiB/s 
Thread 2: 0.000015 s, 0.102577 GiB/s 
Thread 3: 0.000015 s, 0.102578 GiB/s 
Thread 4: 0.000015 s, 0.102578 GiB/s 
Thread 5: 0.000015 s, 0.102584 GiB/s 
Thread 6: 0.000015 s, 0.102582 GiB/s 
Thread 7: 0.000015 s, 0.103626 GiB/s 
Thread 8: 0.000015 s, 0.103633 GiB/s 
Thread 9: 0.000015 s, 0.102580 GiB/s 
Thread 10: 0.000015 s, 0.102586 GiB/s 
Thread 11: 0.000015 s, 0.102597 GiB/s 
Thread 12: 0.000015 s, 0.102581 GiB/s 
Thread 13: 0.000015 s, 0.102597 GiB/s 
Thread 14: 0.000015 s, 0.102584 GiB/s 
Thread 15: 0.000015 s, 0.102598 GiB/s 
Thread 16: 0.000015 s, 0.102578 GiB/s 
Thread 17: 0.000015 s, 0.102585 GiB/s 
Thread 18: 0.000015 s, 0.103627 GiB/s 
Thread 19: 0.000015 s, 0.102578 GiB/s 
Thread 20: 0.000015 s, 0.102578 GiB/s 
Thread 21: 0.000015 s, 0.103632 GiB/s 
Thread 22: 0.000015 s, 0.102597 GiB/s 
Thread 23: 0.000015 s, 0.102586 GiB/s 
Thread 24: 0.000015 s, 0.102577 GiB/s 
Thread 25: 0.000015 s, 0.103636 GiB/s 
Thread 26: 0.000015 s, 0.102986 GiB/s 
Thread 27: 0.000015 s, 0.103626 GiB/s 
Executable:./../bin/adapt_membench_stencil_1d_naive,wss:46080,num_threads:28,ntimes:10000,
NumberOfThreads:28,n(elements):2880.000000,AvgTestRunTime(s):0.000015,CumulativeMemoryBandwidth(GiB/s):2.842906,TotalRunTime(s):0.150956,WSS(MiB):0.043945,Verification:SUCCESS,
Thread 0: 0.000013 s, 0.176730 GiB/s 
Thread 1: 0.000013 s, 0.176728 GiB/s 
Thread 2: 0.000013 s, 0.176733 GiB/s 
Thread 3: 0.000013 s, 0.176728 GiB/s 
Thread 4: 0.000013 s, 0.176728 GiB/s 
Thread 5: 0.000013 s, 0.176732 GiB/s 
Thread 6: 0.000013 s, 0.176727 GiB/s 
Thread 7: 0.000013 s, 0.176729 GiB/s 
Thread 8: 0.000013 s, 0.176729 GiB/s 
Thread 9: 0.000013 s, 0.176733 GiB/s 
Thread 10: 0.000013 s, 0.176728 GiB/s 
Thread 11: 0.000013 s, 0.176731 GiB/s 
Thread 12: 0.000013 s, 0.176732 GiB/s 
Thread 13: 0.000013 s, 0.176730 GiB/s 
Thread 14: 0.000013 s, 0.176732 GiB/s 
Thread 15: 0.000013 s, 0.176733 GiB/s 
Thread 16: 0.000013 s, 0.176729 GiB/s 
Thread 17: 0.000013 s, 0.176728 GiB/s 
Thread 18: 0.000013 s, 0.176731 GiB/s 
Thread 19: 0.000013 s, 0.176732 GiB/s 
Thread 20: 0.000013 s, 0.176731 GiB/s 
Thread 21: 0.000013 s, 0.176734 GiB/s 
Thread 22: 0.000013 s, 0.176733 GiB/s 
Thread 23: 0.000013 s, 0.176732 GiB/s 
Thread 24: 0.000013 s, 0.176727 GiB/s 
Thread 25: 0.000013 s, 0.176727 GiB/s 
Thread 26: 0.000013 s, 0.176728 GiB/s 
Thread 27: 0.000013 s, 0.176728 GiB/s 
Executable:./../bin/adapt_membench_stencil_1d_naive,wss:66560,num_threads:28,ntimes:10000,
NumberOfThreads:28,n(elements):4160.000000,AvgTestRunTime(s):0.000013,CumulativeMemoryBandwidth(GiB/s):4.947820,TotalRunTime(s):0.125285,WSS(MiB):0.063477,Verification:SUCCESS,
Thread 0: 0.000013 s, 0.222785 GiB/s 
Thread 1: 0.000013 s, 0.222786 GiB/s 
Thread 2: 0.000013 s, 0.222784 GiB/s 
Thread 3: 0.000013 s, 0.222788 GiB/s 
Thread 4: 0.000013 s, 0.222786 GiB/s 
Thread 5: 0.000013 s, 0.222783 GiB/s 
Thread 6: 0.000013 s, 0.222782 GiB/s 
Thread 7: 0.000013 s, 0.222782 GiB/s 
Thread 8: 0.000013 s, 0.222786 GiB/s 
Thread 9: 0.000013 s, 0.222783 GiB/s 
Thread 10: 0.000013 s, 0.222785 GiB/s 
Thread 11: 0.000013 s, 0.222782 GiB/s 
Thread 12: 0.000013 s, 0.222784 GiB/s 
Thread 13: 0.000013 s, 0.222782 GiB/s 
Thread 14: 0.000013 s, 0.222783 GiB/s 
Thread 15: 0.000013 s, 0.222782 GiB/s 
Thread 16: 0.000013 s, 0.222786 GiB/s 
Thread 17: 0.000013 s, 0.222782 GiB/s 
Thread 18: 0.000013 s, 0.222781 GiB/s 
Thread 19: 0.000013 s, 0.222786 GiB/s 
Thread 20: 0.000013 s, 0.222784 GiB/s 
Thread 21: 0.000013 s, 0.222785 GiB/s 
Thread 22: 0.000013 s, 0.222786 GiB/s 
Thread 23: 0.000013 s, 0.222782 GiB/s 
Thread 24: 0.000013 s, 0.222783 GiB/s 
Thread 25: 0.000013 s, 0.222787 GiB/s 
Thread 26: 0.000013 s, 0.222787 GiB/s 
Thread 27: 0.000013 s, 0.222782 GiB/s 
Executable:./../bin/adapt_membench_stencil_1d_naive,wss:87040,num_threads:28,ntimes:10000,
NumberOfThreads:28,n(elements):5440.000000,AvgTestRunTime(s):0.000013,CumulativeMemoryBandwidth(GiB/s):6.237044,TotalRunTime(s):0.129969,WSS(MiB):0.083008,Verification:SUCCESS,
Thread 0: 0.000013 s, 0.273450 GiB/s 
Thread 1: 0.000013 s, 0.273351 GiB/s 
Thread 2: 0.000013 s, 0.273353 GiB/s 
Thread 3: 0.000013 s, 0.273383 GiB/s 
Thread 4: 0.000013 s, 0.273352 GiB/s 
Thread 5: 0.000013 s, 0.273343 GiB/s 
Thread 6: 0.000013 s, 0.273339 GiB/s 
Thread 7: 0.000013 s, 0.273347 GiB/s 
Thread 8: 0.000013 s, 0.273334 GiB/s 
Thread 9: 0.000013 s, 0.273362 GiB/s 
Thread 10: 0.000013 s, 0.273329 GiB/s 
Thread 11: 0.000013 s, 0.273417 GiB/s 
Thread 12: 0.000013 s, 0.273360 GiB/s 
Thread 13: 0.000013 s, 0.273356 GiB/s 
Thread 14: 0.000013 s, 0.276563 GiB/s 
Thread 15: 0.000013 s, 0.276555 GiB/s 
Thread 16: 0.000013 s, 0.276548 GiB/s 
Thread 17: 0.000013 s, 0.273331 GiB/s 
Thread 18: 0.000013 s, 0.273349 GiB/s 
Thread 19: 0.000013 s, 0.276589 GiB/s 
Thread 20: 0.000013 s, 0.273336 GiB/s 
Thread 21: 0.000013 s, 0.276561 GiB/s 
Thread 22: 0.000013 s, 0.273350 GiB/s 
Thread 23: 0.000013 s, 0.276570 GiB/s 
Thread 24: 0.000013 s, 0.273347 GiB/s 
Thread 25: 0.000013 s, 0.276577 GiB/s 
Thread 26: 0.000013 s, 0.273352 GiB/s 
Thread 27: 0.000013 s, 0.273349 GiB/s 
Executable:./../bin/adapt_membench_stencil_1d_naive,wss:107520,num_threads:28,ntimes:10000,
NumberOfThreads:28,n(elements):6720.000000,AvgTestRunTime(s):0.000013,CumulativeMemoryBandwidth(GiB/s):7.563929,TotalRunTime(s):0.132386,WSS(MiB):0.102539,Verification:SUCCESS,
Thread 0: 0.000013 s, 0.335418 GiB/s 
Thread 1: 0.000013 s, 0.335419 GiB/s 
Thread 2: 0.000013 s, 0.335409 GiB/s 
Thread 3: 0.000013 s, 0.335409 GiB/s 
Thread 4: 0.000013 s, 0.335421 GiB/s 
Thread 5: 0.000013 s, 0.335414 GiB/s 
Thread 6: 0.000013 s, 0.335417 GiB/s 
Thread 7: 0.000013 s, 0.335419 GiB/s 
Thread 8: 0.000013 s, 0.335417 GiB/s 
Thread 9: 0.000013 s, 0.335416 GiB/s 
Thread 10: 0.000013 s, 0.335408 GiB/s 
Thread 11: 0.000013 s, 0.335418 GiB/s 
Thread 12: 0.000013 s, 0.335419 GiB/s 
Thread 13: 0.000013 s, 0.335409 GiB/s 
Thread 14: 0.000013 s, 0.335414 GiB/s 
Thread 15: 0.000013 s, 0.335414 GiB/s 
Thread 16: 0.000013 s, 0.335413 GiB/s 
Thread 17: 0.000013 s, 0.335417 GiB/s 
Thread 18: 0.000013 s, 0.335407 GiB/s 
Thread 19: 0.000013 s, 0.335420 GiB/s 
Thread 20: 0.000013 s, 0.335416 GiB/s 
Thread 21: 0.000013 s, 0.335409 GiB/s 
Thread 22: 0.000013 s, 0.335410 GiB/s 
Thread 23: 0.000013 s, 0.335411 GiB/s 
Thread 24: 0.000013 s, 0.335409 GiB/s 
Thread 25: 0.000013 s, 0.335415 GiB/s 
Thread 26: 0.000013 s, 0.335420 GiB/s 
Thread 27: 0.000013 s, 0.335415 GiB/s 
Executable:./../bin/adapt_membench_stencil_1d_naive,wss:128000,num_threads:28,ntimes:10000,
NumberOfThreads:28,n(elements):8000.000000,AvgTestRunTime(s):0.000013,CumulativeMemoryBandwidth(GiB/s):9.390324,TotalRunTime(s):0.126949,WSS(MiB):0.122070,Verification:SUCCESS,
Thread 0: 0.000013 s, 0.377990 GiB/s 
Thread 1: 0.000013 s, 0.377980 GiB/s 
Thread 2: 0.000013 s, 0.377975 GiB/s 
Thread 3: 0.000013 s, 0.377980 GiB/s 
Thread 4: 0.000013 s, 0.377907 GiB/s 
Thread 5: 0.000013 s, 0.377907 GiB/s 
Thread 6: 0.000013 s, 0.377965 GiB/s 
Thread 7: 0.000013 s, 0.378007 GiB/s 
Thread 8: 0.000013 s, 0.377973 GiB/s 
Thread 9: 0.000013 s, 0.378011 GiB/s 
Thread 10: 0.000013 s, 0.377965 GiB/s 
Thread 11: 0.000013 s, 0.378001 GiB/s 
Thread 12: 0.000013 s, 0.378004 GiB/s 
Thread 13: 0.000013 s, 0.377997 GiB/s 
Thread 14: 0.000013 s, 0.378002 GiB/s 
Thread 15: 0.000013 s, 0.377911 GiB/s 
Thread 16: 0.000013 s, 0.377912 GiB/s 
Thread 17: 0.000013 s, 0.378006 GiB/s 
Thread 18: 0.000013 s, 0.377913 GiB/s 
Thread 19: 0.000013 s, 0.377967 GiB/s 
Thread 20: 0.000013 s, 0.377969 GiB/s 
Thread 21: 0.000013 s, 0.377911 GiB/s 
Thread 22: 0.000013 s, 0.378009 GiB/s 
Thread 23: 0.000013 s, 0.378012 GiB/s 
Thread 24: 0.000013 s, 0.378011 GiB/s 
Thread 25: 0.000013 s, 0.377989 GiB/s 
Thread 26: 0.000013 s, 0.378002 GiB/s 
Thread 27: 0.000013 s, 0.378004 GiB/s 
Executable:./../bin/adapt_membench_stencil_1d_naive,wss:148480,num_threads:28,ntimes:10000,
NumberOfThreads:28,n(elements):9280.000000,AvgTestRunTime(s):0.000013,CumulativeMemoryBandwidth(GiB/s):10.579926,TotalRunTime(s):0.130703,WSS(MiB):0.141602,Verification:SUCCESS,
Thread 0: 0.000013 s, 0.427642 GiB/s 
Thread 1: 0.000013 s, 0.427663 GiB/s 
Thread 2: 0.000013 s, 0.427637 GiB/s 
Thread 3: 0.000013 s, 0.427609 GiB/s 
Thread 4: 0.000013 s, 0.427613 GiB/s 
Thread 5: 0.000013 s, 0.427629 GiB/s 
Thread 6: 0.000013 s, 0.432606 GiB/s 
Thread 7: 0.000013 s, 0.427620 GiB/s 
Thread 8: 0.000013 s, 0.427652 GiB/s 
Thread 9: 0.000013 s, 0.427615 GiB/s 
Thread 10: 0.000013 s, 0.427616 GiB/s 
Thread 11: 0.000013 s, 0.427661 GiB/s 
Thread 12: 0.000013 s, 0.427614 GiB/s 
Thread 13: 0.000013 s, 0.427642 GiB/s 
Thread 14: 0.000013 s, 0.427648 GiB/s 
Thread 15: 0.000013 s, 0.427634 GiB/s 
Thread 16: 0.000013 s, 0.427618 GiB/s 
Thread 17: 0.000013 s, 0.427652 GiB/s 
Thread 18: 0.000013 s, 0.427653 GiB/s 
Thread 19: 0.000013 s, 0.427681 GiB/s 
Thread 20: 0.000013 s, 0.427615 GiB/s 
Thread 21: 0.000013 s, 0.432608 GiB/s 
Thread 22: 0.000013 s, 0.427645 GiB/s 
Thread 23: 0.000013 s, 0.427640 GiB/s 
Thread 24: 0.000013 s, 0.427665 GiB/s 
Thread 25: 0.000013 s, 0.427644 GiB/s 
Thread 26: 0.000013 s, 0.427643 GiB/s 
Thread 27: 0.000013 s, 0.427616 GiB/s 
Executable:./../bin/adapt_membench_stencil_1d_naive,wss:168960,num_threads:28,ntimes:10000,
NumberOfThreads:28,n(elements):10560.000000,AvgTestRunTime(s):0.000013,CumulativeMemoryBandwidth(GiB/s):11.834235,TotalRunTime(s):0.132967,WSS(MiB):0.161133,Verification:SUCCESS,
Thread 0: 0.000013 s, 0.483890 GiB/s 
Thread 1: 0.000013 s, 0.483889 GiB/s 
Thread 2: 0.000013 s, 0.483899 GiB/s 
Thread 3: 0.000013 s, 0.483890 GiB/s 
Thread 4: 0.000013 s, 0.483898 GiB/s 
Thread 5: 0.000013 s, 0.483900 GiB/s 
Thread 6: 0.000013 s, 0.483898 GiB/s 
Thread 7: 0.000013 s, 0.483940 GiB/s 
Thread 8: 0.000013 s, 0.483899 GiB/s 
Thread 9: 0.000013 s, 0.483884 GiB/s 
Thread 10: 0.000013 s, 0.483895 GiB/s 
Thread 11: 0.000013 s, 0.483887 GiB/s 
Thread 12: 0.000013 s, 0.483896 GiB/s 
Thread 13: 0.000013 s, 0.483891 GiB/s 
Thread 14: 0.000013 s, 0.489602 GiB/s 
Thread 15: 0.000013 s, 0.483893 GiB/s 
Thread 16: 0.000013 s, 0.483883 GiB/s 
Thread 17: 0.000013 s, 0.483944 GiB/s 
Thread 18: 0.000013 s, 0.483941 GiB/s 
Thread 19: 0.000013 s, 0.483901 GiB/s 
Thread 20: 0.000013 s, 0.483890 GiB/s 
Thread 21: 0.000013 s, 0.483899 GiB/s 
Thread 22: 0.000013 s, 0.483897 GiB/s 
Thread 23: 0.000013 s, 0.483889 GiB/s 
Thread 24: 0.000013 s, 0.483942 GiB/s 
Thread 25: 0.000013 s, 0.483899 GiB/s 
Thread 26: 0.000013 s, 0.483898 GiB/s 
Thread 27: 0.000013 s, 0.483891 GiB/s 
Executable:./../bin/adapt_membench_stencil_1d_naive,wss:189440,num_threads:28,ntimes:10000,
NumberOfThreads:28,n(elements):11840.000000,AvgTestRunTime(s):0.000013,CumulativeMemoryBandwidth(GiB/s):13.546836,TotalRunTime(s):0.130237,WSS(MiB):0.180664,Verification:SUCCESS,
Thread 0: 0.000013 s, 0.539033 GiB/s 
Thread 1: 0.000013 s, 0.539075 GiB/s 
Thread 2: 0.000013 s, 0.539042 GiB/s 
Thread 3: 0.000013 s, 0.539038 GiB/s 
Thread 4: 0.000013 s, 0.539029 GiB/s 
Thread 5: 0.000013 s, 0.539049 GiB/s 
Thread 6: 0.000013 s, 0.539045 GiB/s 
Thread 7: 0.000013 s, 0.539084 GiB/s 
Thread 8: 0.000013 s, 0.539078 GiB/s 
Thread 9: 0.000013 s, 0.539042 GiB/s 
Thread 10: 0.000013 s, 0.539038 GiB/s 
Thread 11: 0.000013 s, 0.539047 GiB/s 
Thread 12: 0.000013 s, 0.539035 GiB/s 
Thread 13: 0.000013 s, 0.539048 GiB/s 
Thread 14: 0.000013 s, 0.539075 GiB/s 
Thread 15: 0.000013 s, 0.539046 GiB/s 
Thread 16: 0.000013 s, 0.539040 GiB/s 
Thread 17: 0.000013 s, 0.539094 GiB/s 
Thread 18: 0.000013 s, 0.539076 GiB/s 
Thread 19: 0.000013 s, 0.539076 GiB/s 
Thread 20: 0.000013 s, 0.539043 GiB/s 
Thread 21: 0.000013 s, 0.539047 GiB/s 
Thread 22: 0.000013 s, 0.539041 GiB/s 
Thread 23: 0.000013 s, 0.539039 GiB/s 
Thread 24: 0.000013 s, 0.539037 GiB/s 
Thread 25: 0.000013 s, 0.539044 GiB/s 
Thread 26: 0.000013 s, 0.539041 GiB/s 
Thread 27: 0.000013 s, 0.539033 GiB/s 
Executable:./../bin/adapt_membench_stencil_1d_naive,wss:209920,num_threads:28,ntimes:10000,
NumberOfThreads:28,n(elements):13120.000000,AvgTestRunTime(s):0.000013,CumulativeMemoryBandwidth(GiB/s):15.090617,TotalRunTime(s):0.129553,WSS(MiB):0.200195,Verification:SUCCESS,
Thread 0: 0.000013 s, 0.602055 GiB/s 
Thread 1: 0.000013 s, 0.602061 GiB/s 
Thread 2: 0.000013 s, 0.602054 GiB/s 
Thread 3: 0.000013 s, 0.602057 GiB/s 
Thread 4: 0.000013 s, 0.602053 GiB/s 
Thread 5: 0.000013 s, 0.602054 GiB/s 
Thread 6: 0.000013 s, 0.602133 GiB/s 
Thread 7: 0.000013 s, 0.602064 GiB/s 
Thread 8: 0.000013 s, 0.602054 GiB/s 
Thread 9: 0.000013 s, 0.602055 GiB/s 
Thread 10: 0.000013 s, 0.602057 GiB/s 
Thread 11: 0.000013 s, 0.602057 GiB/s 
Thread 12: 0.000013 s, 0.602058 GiB/s 
Thread 13: 0.000013 s, 0.602064 GiB/s 
Thread 14: 0.000013 s, 0.602062 GiB/s 
Thread 15: 0.000013 s, 0.602058 GiB/s 
Thread 16: 0.000013 s, 0.602065 GiB/s 
Thread 17: 0.000013 s, 0.602055 GiB/s 
Thread 18: 0.000013 s, 0.602136 GiB/s 
Thread 19: 0.000013 s, 0.602059 GiB/s 
Thread 20: 0.000013 s, 0.602054 GiB/s 
Thread 21: 0.000013 s, 0.602058 GiB/s 
Thread 22: 0.000013 s, 0.602057 GiB/s 
Thread 23: 0.000013 s, 0.602057 GiB/s 
Thread 24: 0.000013 s, 0.602067 GiB/s 
Thread 25: 0.000013 s, 0.602058 GiB/s 
Thread 26: 0.000013 s, 0.602158 GiB/s 
Thread 27: 0.000013 s, 0.602124 GiB/s 
Executable:./../bin/adapt_membench_stencil_1d_naive,wss:230400,num_threads:28,ntimes:10000,
NumberOfThreads:28,n(elements):14400.000000,AvgTestRunTime(s):0.000013,CumulativeMemoryBandwidth(GiB/s):16.855195,TotalRunTime(s):0.127306,WSS(MiB):0.219727,Verification:SUCCESS,
Thread 0: 0.000015 s, 0.542132 GiB/s 
Thread 1: 0.000015 s, 0.542128 GiB/s 
Thread 2: 0.000015 s, 0.542123 GiB/s 
Thread 3: 0.000015 s, 0.542123 GiB/s 
Thread 4: 0.000015 s, 0.542126 GiB/s 
Thread 5: 0.000015 s, 0.542126 GiB/s 
Thread 6: 0.000015 s, 0.542126 GiB/s 
Thread 7: 0.000015 s, 0.542128 GiB/s 
Thread 8: 0.000015 s, 0.542128 GiB/s 
Thread 9: 0.000015 s, 0.542123 GiB/s 
Thread 10: 0.000015 s, 0.542125 GiB/s 
Thread 11: 0.000015 s, 0.542134 GiB/s 
Thread 12: 0.000015 s, 0.542129 GiB/s 
Thread 13: 0.000015 s, 0.542130 GiB/s 
Thread 14: 0.000015 s, 0.542124 GiB/s 
Thread 15: 0.000015 s, 0.542127 GiB/s 
Thread 16: 0.000015 s, 0.542134 GiB/s 
Thread 17: 0.000015 s, 0.542123 GiB/s 
Thread 18: 0.000015 s, 0.542131 GiB/s 
Thread 19: 0.000015 s, 0.542124 GiB/s 
Thread 20: 0.000015 s, 0.542124 GiB/s 
Thread 21: 0.000015 s, 0.542134 GiB/s 
Thread 22: 0.000015 s, 0.542127 GiB/s 
Thread 23: 0.000015 s, 0.542121 GiB/s 
Thread 24: 0.000015 s, 0.542126 GiB/s 
Thread 25: 0.000015 s, 0.542133 GiB/s 
Thread 26: 0.000015 s, 0.542124 GiB/s 
Thread 27: 0.000015 s, 0.542127 GiB/s 
Executable:./../bin/adapt_membench_stencil_1d_naive,wss:250880,num_threads:28,ntimes:10000,
NumberOfThreads:28,n(elements):15680.000000,AvgTestRunTime(s):0.000015,CumulativeMemoryBandwidth(GiB/s):15.177703,TotalRunTime(s):0.153943,WSS(MiB):0.239258,Verification:SUCCESS,
Thread 0: 0.000009 s, 1.035995 GiB/s 
Thread 1: 0.000009 s, 1.035994 GiB/s 
Thread 2: 0.000009 s, 1.036035 GiB/s 
Thread 3: 0.000009 s, 1.036018 GiB/s 
Thread 4: 0.000009 s, 1.035999 GiB/s 
Thread 5: 0.000009 s, 1.035984 GiB/s 
Thread 6: 0.000009 s, 1.035949 GiB/s 
Thread 7: 0.000009 s, 1.036028 GiB/s 
Thread 8: 0.000009 s, 1.036026 GiB/s 
Thread 9: 0.000009 s, 1.036010 GiB/s 
Thread 10: 0.000009 s, 1.035979 GiB/s 
Thread 11: 0.000009 s, 1.035976 GiB/s 
Thread 12: 0.000009 s, 1.035992 GiB/s 
Thread 13: 0.000009 s, 1.035965 GiB/s 
Thread 14: 0.000009 s, 1.036010 GiB/s 
Thread 15: 0.000009 s, 1.035947 GiB/s 
Thread 16: 0.000009 s, 1.035948 GiB/s 
Thread 17: 0.000009 s, 1.036005 GiB/s 
Thread 18: 0.000009 s, 1.036015 GiB/s 
Thread 19: 0.000009 s, 1.036029 GiB/s 
Thread 20: 0.000009 s, 1.035963 GiB/s 
Thread 21: 0.000009 s, 1.035989 GiB/s 
Thread 22: 0.000009 s, 1.035990 GiB/s 
Thread 23: 0.000009 s, 1.036032 GiB/s 
Thread 24: 0.000009 s, 1.036024 GiB/s 
Thread 25: 0.000009 s, 1.036031 GiB/s 
Thread 26: 0.000009 s, 1.036016 GiB/s 
Thread 27: 0.000009 s, 1.036037 GiB/s 
Executable:./../bin/adapt_membench_stencil_1d_naive,wss:271360,num_threads:28,ntimes:10000,
NumberOfThreads:28,n(elements):16960.000000,AvgTestRunTime(s):0.000009,CumulativeMemoryBandwidth(GiB/s):29.001368,TotalRunTime(s):0.087142,WSS(MiB):0.258789,Verification:SUCCESS,
Thread 0: 0.000010 s, 0.987265 GiB/s 
Thread 1: 0.000010 s, 0.987244 GiB/s 
Thread 2: 0.000010 s, 0.987274 GiB/s 
Thread 3: 0.000010 s, 0.987260 GiB/s 
Thread 4: 0.000010 s, 0.987233 GiB/s 
Thread 5: 0.000010 s, 0.987275 GiB/s 
Thread 6: 0.000010 s, 0.987238 GiB/s 
Thread 7: 0.000010 s, 0.987276 GiB/s 
Thread 8: 0.000010 s, 0.987274 GiB/s 
Thread 9: 0.000010 s, 0.987250 GiB/s 
Thread 10: 0.000010 s, 0.987260 GiB/s 
Thread 11: 0.000010 s, 0.987265 GiB/s 
Thread 12: 0.000010 s, 0.987368 GiB/s 
Thread 13: 0.000010 s, 0.987225 GiB/s 
Thread 14: 0.000010 s, 0.987234 GiB/s 
Thread 15: 0.000010 s, 0.987372 GiB/s 
Thread 16: 0.000010 s, 0.987408 GiB/s 
Thread 17: 0.000010 s, 0.987359 GiB/s 
Thread 18: 0.000010 s, 0.987273 GiB/s 
Thread 19: 0.000010 s, 0.987249 GiB/s 
Thread 20: 0.000010 s, 0.987372 GiB/s 
Thread 21: 0.000010 s, 0.987235 GiB/s 
Thread 22: 0.000010 s, 0.987257 GiB/s 
Thread 23: 0.000010 s, 0.987256 GiB/s 
Thread 24: 0.000010 s, 0.987269 GiB/s 
Thread 25: 0.000010 s, 0.987341 GiB/s 
Thread 26: 0.000010 s, 0.987238 GiB/s 
Thread 27: 0.000010 s, 0.987272 GiB/s 
Executable:./../bin/adapt_membench_stencil_1d_naive,wss:291840,num_threads:28,ntimes:10000,
NumberOfThreads:28,n(elements):18240.000000,AvgTestRunTime(s):0.000010,CumulativeMemoryBandwidth(GiB/s):27.637101,TotalRunTime(s):0.098345,WSS(MiB):0.278320,Verification:SUCCESS,
Thread 0: 0.000008 s, 1.259557 GiB/s 
Thread 1: 0.000008 s, 1.259511 GiB/s 
Thread 2: 0.000008 s, 1.259546 GiB/s 
Thread 3: 0.000008 s, 1.259525 GiB/s 
Thread 4: 0.000008 s, 1.259472 GiB/s 
Thread 5: 0.000008 s, 1.259489 GiB/s 
Thread 6: 0.000008 s, 1.259399 GiB/s 
Thread 7: 0.000008 s, 1.259465 GiB/s 
Thread 8: 0.000008 s, 1.259459 GiB/s 
Thread 9: 0.000008 s, 1.259502 GiB/s 
Thread 10: 0.000008 s, 1.259455 GiB/s 
Thread 11: 0.000008 s, 1.259588 GiB/s 
