Thread 0: 0.000000 s, 0.585762 GiB/s 
Thread 1: 0.000018 s, 1.450168 GiB/s 
Thread 2: 0.000018 s, 1.448676 GiB/s 
Thread 3: 0.000018 s, 1.441902 GiB/s 
Thread 4: 0.000018 s, 1.441716 GiB/s 
Thread 5: 0.000018 s, 1.442766 GiB/s 
Thread 6: 0.000018 s, 1.443809 GiB/s 
Thread 7: 0.000018 s, 1.444263 GiB/s 
Thread 8: 0.000018 s, 1.446788 GiB/s 
Thread 9: 0.000018 s, 1.448311 GiB/s 
Thread 10: 0.000018 s, 1.450570 GiB/s 
Thread 11: 0.000018 s, 1.449997 GiB/s 
Thread 12: 0.000018 s, 1.446852 GiB/s 
Thread 13: 0.000018 s, 1.447703 GiB/s 
Thread 14: 0.000018 s, 1.446991 GiB/s 
Thread 15: 0.000018 s, 1.437514 GiB/s 
Thread 16: 0.000018 s, 1.438736 GiB/s 
Thread 17: 0.000018 s, 1.449271 GiB/s 
Thread 18: 0.000018 s, 1.450444 GiB/s 
Thread 19: 0.000018 s, 1.442596 GiB/s 
Thread 20: 0.000018 s, 1.441471 GiB/s 
Thread 21: 0.000018 s, 1.453859 GiB/s 
Thread 22: 0.000018 s, 1.450427 GiB/s 
Thread 23: 0.000018 s, 1.440163 GiB/s 
Thread 24: 0.000018 s, 1.440063 GiB/s 
Thread 25: 0.000018 s, 1.448983 GiB/s 
Thread 26: 0.000018 s, 1.440549 GiB/s 
Thread 27: 0.000018 s, 1.451287 GiB/s 
Executable:./../bin/adapt_membench_jacobi_3d_B25pt,wss:791552,num_threads:28,ntimes:10000,
NumberOfThreads:28,n(elements):12.000000,AvgTestRunTime(s):0.000018,CumulativeMemoryBandwidth(GiB/s):39.927908,TotalRunTime(s):0.180570,WSS(MiB):0.738281,
Thread 0: 0.000023 s, 1.406445 GiB/s 
Thread 1: 0.000023 s, 1.416124 GiB/s 
Thread 2: 0.000023 s, 1.408320 GiB/s 
Thread 3: 0.000023 s, 1.395248 GiB/s 
Thread 4: 0.000023 s, 1.413819 GiB/s 
Thread 5: 0.000023 s, 1.412791 GiB/s 
Thread 6: 0.000024 s, 1.347002 GiB/s 
Thread 7: 0.000023 s, 1.413761 GiB/s 
Thread 8: 0.000023 s, 1.411130 GiB/s 
Thread 9: 0.000023 s, 1.415473 GiB/s 
Thread 10: 0.000023 s, 1.412832 GiB/s 
Thread 11: 0.000023 s, 1.408456 GiB/s 
Thread 12: 0.000025 s, 1.299573 GiB/s 
Thread 13: 0.000023 s, 1.414819 GiB/s 
Thread 14: 0.000023 s, 1.415018 GiB/s 
Thread 15: 0.000023 s, 1.417209 GiB/s 
Thread 16: 0.000023 s, 1.418973 GiB/s 
Thread 17: 0.000023 s, 1.416326 GiB/s 
Thread 18: 0.000023 s, 1.417015 GiB/s 
Thread 19: 0.000023 s, 1.417744 GiB/s 
Thread 20: 0.000023 s, 1.419066 GiB/s 
Thread 21: 0.000023 s, 1.418403 GiB/s 
Thread 22: 0.000023 s, 1.418433 GiB/s 
Thread 23: 0.000023 s, 1.418681 GiB/s 
Thread 24: 0.000023 s, 1.413542 GiB/s 
Thread 25: 0.000023 s, 1.416725 GiB/s 
Thread 26: 0.000023 s, 1.417920 GiB/s 
Thread 27: 0.000023 s, 1.409640 GiB/s 
Executable:./../bin/adapt_membench_jacobi_3d_B25pt,wss:1053696,num_threads:28,ntimes:10000,
NumberOfThreads:28,n(elements):13.000000,AvgTestRunTime(s):0.000026,CumulativeMemoryBandwidth(GiB/s):35.669787,TotalRunTime(s):0.256985,WSS(MiB):0.938660,
Thread 0: 0.000027 s, 1.537848 GiB/s 
Thread 1: 0.000027 s, 1.521051 GiB/s 
Thread 2: 0.000027 s, 1.518710 GiB/s 
Thread 3: 0.000027 s, 1.520330 GiB/s 
Thread 4: 0.000027 s, 1.520311 GiB/s 
Thread 5: 0.000027 s, 1.520758 GiB/s 
Thread 6: 0.000028 s, 1.453101 GiB/s 
Thread 7: 0.000027 s, 1.515896 GiB/s 
Thread 8: 0.000027 s, 1.521567 GiB/s 
Thread 9: 0.000027 s, 1.518918 GiB/s 
Thread 10: 0.000027 s, 1.518111 GiB/s 
Thread 11: 0.000027 s, 1.520356 GiB/s 
Thread 12: 0.000027 s, 1.520736 GiB/s 
Thread 13: 0.000027 s, 1.521309 GiB/s 
Thread 14: 0.000027 s, 1.519948 GiB/s 
Thread 15: 0.000027 s, 1.520484 GiB/s 
Thread 16: 0.000027 s, 1.520101 GiB/s 
Thread 17: 0.000027 s, 1.521164 GiB/s 
Thread 18: 0.000027 s, 1.521722 GiB/s 
Thread 19: 0.000027 s, 1.519743 GiB/s 
Thread 20: 0.000027 s, 1.518837 GiB/s 
Thread 21: 0.000027 s, 1.520693 GiB/s 
Thread 22: 0.000027 s, 1.520902 GiB/s 
Thread 23: 0.000027 s, 1.522202 GiB/s 
Thread 24: 0.000027 s, 1.520191 GiB/s 
Thread 25: 0.000027 s, 1.520508 GiB/s 
Thread 26: 0.000027 s, 1.517908 GiB/s 
Thread 27: 0.000027 s, 1.521388 GiB/s 
Executable:./../bin/adapt_membench_jacobi_3d_B25pt,wss:1315840,num_threads:28,ntimes:10000,
NumberOfThreads:28,n(elements):14.000000,AvgTestRunTime(s):0.000028,CumulativeMemoryBandwidth(GiB/s):40.680574,TotalRunTime(s):0.281433,WSS(MiB):1.172363,
Thread 0: 0.000035 s, 1.444722 GiB/s 
Thread 1: 0.000034 s, 1.483724 GiB/s 
Thread 2: 0.000034 s, 1.492303 GiB/s 
Thread 3: 0.000034 s, 1.487430 GiB/s 
Thread 4: 0.000034 s, 1.488794 GiB/s 
Thread 5: 0.000034 s, 1.491015 GiB/s 
Thread 6: 0.000034 s, 1.488274 GiB/s 
Thread 7: 0.000034 s, 1.492422 GiB/s 
Thread 8: 0.000034 s, 1.493428 GiB/s 
Thread 9: 0.000034 s, 1.492356 GiB/s 
Thread 10: 0.000034 s, 1.491743 GiB/s 
Thread 11: 0.000034 s, 1.484219 GiB/s 
Thread 12: 0.000034 s, 1.484116 GiB/s 
Thread 13: 0.000034 s, 1.491426 GiB/s 
Thread 14: 0.000034 s, 1.492168 GiB/s 
Thread 15: 0.000034 s, 1.492304 GiB/s 
Thread 16: 0.000034 s, 1.490782 GiB/s 
Thread 17: 0.000034 s, 1.493018 GiB/s 
Thread 18: 0.000034 s, 1.490744 GiB/s 
Thread 19: 0.000034 s, 1.488587 GiB/s 
Thread 20: 0.000034 s, 1.486606 GiB/s 
Thread 21: 0.000034 s, 1.479333 GiB/s 
Thread 22: 0.000034 s, 1.491979 GiB/s 
Thread 23: 0.000034 s, 1.494501 GiB/s 
Thread 24: 0.000034 s, 1.491652 GiB/s 
Thread 25: 0.000034 s, 1.491026 GiB/s 
Thread 26: 0.000034 s, 1.485682 GiB/s 
Thread 27: 0.000034 s, 1.492488 GiB/s 
Executable:./../bin/adapt_membench_jacobi_3d_B25pt,wss:1577984,num_threads:28,ntimes:10000,
NumberOfThreads:28,n(elements):15.000000,AvgTestRunTime(s):0.000035,CumulativeMemoryBandwidth(GiB/s):40.442742,TotalRunTime(s):0.348186,WSS(MiB):1.441956,
Thread 0: 0.000040 s, 1.516240 GiB/s 
Thread 1: 0.000039 s, 1.557169 GiB/s 
Thread 2: 0.000039 s, 1.558489 GiB/s 
Thread 3: 0.000039 s, 1.557915 GiB/s 
Thread 4: 0.000039 s, 1.556992 GiB/s 
Thread 5: 0.000039 s, 1.556301 GiB/s 
Thread 6: 0.000039 s, 1.553573 GiB/s 
Thread 7: 0.000039 s, 1.555636 GiB/s 
Thread 8: 0.000039 s, 1.554592 GiB/s 
Thread 9: 0.000039 s, 1.551991 GiB/s 
Thread 10: 0.000039 s, 1.554413 GiB/s 
Thread 11: 0.000039 s, 1.555649 GiB/s 
Thread 12: 0.000039 s, 1.553507 GiB/s 
Thread 13: 0.000039 s, 1.558090 GiB/s 
Thread 14: 0.000039 s, 1.557883 GiB/s 
Thread 15: 0.000039 s, 1.558014 GiB/s 
Thread 16: 0.000041 s, 1.477078 GiB/s 
Thread 17: 0.000039 s, 1.553323 GiB/s 
Thread 18: 0.000039 s, 1.556226 GiB/s 
Thread 19: 0.000039 s, 1.554460 GiB/s 
Thread 20: 0.000039 s, 1.555942 GiB/s 
Thread 21: 0.000039 s, 1.553186 GiB/s 
Thread 22: 0.000039 s, 1.552989 GiB/s 
Thread 23: 0.000039 s, 1.554229 GiB/s 
Thread 24: 0.000039 s, 1.555079 GiB/s 
Thread 25: 0.000039 s, 1.556240 GiB/s 
Thread 26: 0.000039 s, 1.557241 GiB/s 
Thread 27: 0.000039 s, 1.556420 GiB/s 
Executable:./../bin/adapt_membench_jacobi_3d_B25pt,wss:1840128,num_threads:28,ntimes:10000,
NumberOfThreads:28,n(elements):16.000000,AvgTestRunTime(s):0.000041,CumulativeMemoryBandwidth(GiB/s):41.204472,TotalRunTime(s):0.414757,WSS(MiB):1.750000,
Thread 0: 0.000039 s, 1.559945 GiB/s 
Thread 1: 0.000039 s, 1.559540 GiB/s 
Thread 2: 0.000039 s, 1.555541 GiB/s 
Thread 3: 0.000039 s, 1.552249 GiB/s 
Thread 4: 0.000039 s, 1.556164 GiB/s 
Thread 5: 0.000039 s, 1.556138 GiB/s 
Thread 6: 0.000052 s, 1.174985 GiB/s 
Thread 7: 0.000058 s, 1.048662 GiB/s 
Thread 8: 0.000060 s, 1.015087 GiB/s 
Thread 9: 0.000039 s, 1.557943 GiB/s 
Thread 10: 0.000039 s, 1.559976 GiB/s 
Thread 11: 0.000039 s, 1.556231 GiB/s 
Thread 12: 0.000039 s, 1.557824 GiB/s 
Thread 13: 0.000039 s, 1.557931 GiB/s 
Thread 14: 0.000047 s, 1.295480 GiB/s 
Thread 15: 0.000039 s, 1.555658 GiB/s 
Thread 16: 0.000039 s, 1.557307 GiB/s 
Thread 17: 0.000039 s, 1.557232 GiB/s 
Thread 18: 0.000039 s, 1.558102 GiB/s 
Thread 19: 0.000039 s, 1.556766 GiB/s 
Thread 20: 0.000039 s, 1.555544 GiB/s 
Thread 21: 0.000056 s, 1.084702 GiB/s 
Thread 22: 0.000039 s, 1.559612 GiB/s 
Thread 23: 0.000039 s, 1.556322 GiB/s 
Thread 24: 0.000039 s, 1.556620 GiB/s 
Thread 25: 0.000039 s, 1.557825 GiB/s 
Thread 26: 0.000039 s, 1.556332 GiB/s 
Thread 27: 0.000052 s, 1.173485 GiB/s 
Executable:./../bin/adapt_membench_jacobi_3d_B25pt,wss:2097152,num_threads:28,ntimes:1000,
NumberOfThreads:28,n(elements):16.000000,AvgTestRunTime(s):0.000066,CumulativeMemoryBandwidth(GiB/s):25.879966,TotalRunTime(s):0.066035,WSS(MiB):1.750000,
Thread 0: 0.000052 s, 1.661695 GiB/s 
Thread 1: 0.000052 s, 1.657723 GiB/s 
Thread 2: 0.000052 s, 1.659126 GiB/s 
Thread 3: 0.000052 s, 1.656778 GiB/s 
Thread 4: 0.000052 s, 1.656092 GiB/s 
Thread 5: 0.000052 s, 1.658314 GiB/s 
Thread 6: 0.000052 s, 1.658072 GiB/s 
Thread 7: 0.000052 s, 1.658401 GiB/s 
Thread 8: 0.000053 s, 1.655147 GiB/s 
Thread 9: 0.000052 s, 1.657127 GiB/s 
Thread 10: 0.000052 s, 1.655997 GiB/s 
Thread 11: 0.000052 s, 1.655707 GiB/s 
Thread 12: 0.000052 s, 1.657328 GiB/s 
Thread 13: 0.000052 s, 1.657942 GiB/s 
Thread 14: 0.000052 s, 1.655843 GiB/s 
Thread 15: 0.000052 s, 1.657934 GiB/s 
Thread 16: 0.000052 s, 1.655637 GiB/s 
Thread 17: 0.000052 s, 1.656539 GiB/s 
Thread 18: 0.000052 s, 1.656467 GiB/s 
Thread 19: 0.000052 s, 1.657551 GiB/s 
Thread 20: 0.000052 s, 1.656287 GiB/s 
Thread 21: 0.000052 s, 1.658260 GiB/s 
Thread 22: 0.000052 s, 1.657983 GiB/s 
Thread 23: 0.000052 s, 1.658833 GiB/s 
Thread 24: 0.000052 s, 1.656711 GiB/s 
Thread 25: 0.000052 s, 1.656925 GiB/s 
Thread 26: 0.000052 s, 1.656825 GiB/s 
Thread 27: 0.000052 s, 1.658790 GiB/s 
Executable:./../bin/adapt_membench_jacobi_3d_B25pt,wss:2621440,num_threads:28,ntimes:1000,
NumberOfThreads:28,n(elements):18.000000,AvgTestRunTime(s):0.000056,CumulativeMemoryBandwidth(GiB/s):43.083288,TotalRunTime(s):0.056479,WSS(MiB):2.491699,
Thread 0: 0.000064 s, 1.592830 GiB/s 
Thread 1: 0.000064 s, 1.592084 GiB/s 
Thread 2: 0.000064 s, 1.594462 GiB/s 
Thread 3: 0.000064 s, 1.590268 GiB/s 
Thread 4: 0.000064 s, 1.591890 GiB/s 
Thread 5: 0.000064 s, 1.588355 GiB/s 
Thread 6: 0.000064 s, 1.589855 GiB/s 
Thread 7: 0.000064 s, 1.591626 GiB/s 
Thread 8: 0.000064 s, 1.593415 GiB/s 
Thread 9: 0.000064 s, 1.590461 GiB/s 
Thread 10: 0.000064 s, 1.590830 GiB/s 
Thread 11: 0.000064 s, 1.590065 GiB/s 
Thread 12: 0.000064 s, 1.592341 GiB/s 
Thread 13: 0.000064 s, 1.592741 GiB/s 
Thread 14: 0.000064 s, 1.588304 GiB/s 
Thread 15: 0.000064 s, 1.592828 GiB/s 
Thread 16: 0.000064 s, 1.594969 GiB/s 
Thread 17: 0.000064 s, 1.589475 GiB/s 
Thread 18: 0.000064 s, 1.590581 GiB/s 
Thread 19: 0.000064 s, 1.593439 GiB/s 
Thread 20: 0.000064 s, 1.590526 GiB/s 
Thread 21: 0.000064 s, 1.593991 GiB/s 
Thread 22: 0.000064 s, 1.596207 GiB/s 
Thread 23: 0.000064 s, 1.593135 GiB/s 
Thread 24: 0.000064 s, 1.592579 GiB/s 
Thread 25: 0.000064 s, 1.589430 GiB/s 
Thread 26: 0.000064 s, 1.590561 GiB/s 
Thread 27: 0.000064 s, 1.589699 GiB/s 
Executable:./../bin/adapt_membench_jacobi_3d_B25pt,wss:3145728,num_threads:28,ntimes:1000,
NumberOfThreads:28,n(elements):19.000000,AvgTestRunTime(s):0.000064,CumulativeMemoryBandwidth(GiB/s):44.461257,TotalRunTime(s):0.064366,WSS(MiB):2.930481,
Thread 0: 0.000071 s, 1.671200 GiB/s 
Thread 1: 0.000072 s, 1.663848 GiB/s 
Thread 2: 0.000072 s, 1.665208 GiB/s 
Thread 3: 0.000072 s, 1.665224 GiB/s 
Thread 4: 0.000072 s, 1.663781 GiB/s 
Thread 5: 0.000072 s, 1.664864 GiB/s 
Thread 6: 0.000072 s, 1.665653 GiB/s 
Thread 7: 0.000072 s, 1.664812 GiB/s 
Thread 8: 0.000072 s, 1.665406 GiB/s 
Thread 9: 0.000072 s, 1.663635 GiB/s 
Thread 10: 0.000072 s, 1.663460 GiB/s 
Thread 11: 0.000072 s, 1.664227 GiB/s 
Thread 12: 0.000072 s, 1.665132 GiB/s 
Thread 13: 0.000072 s, 1.665343 GiB/s 
Thread 14: 0.000072 s, 1.665498 GiB/s 
Thread 15: 0.000072 s, 1.664314 GiB/s 
Thread 16: 0.000071 s, 1.668662 GiB/s 
Thread 17: 0.000072 s, 1.664635 GiB/s 
Thread 18: 0.000072 s, 1.663255 GiB/s 
Thread 19: 0.000072 s, 1.665248 GiB/s 
Thread 20: 0.000072 s, 1.666275 GiB/s 
Thread 21: 0.000072 s, 1.664360 GiB/s 
Thread 22: 0.000072 s, 1.666786 GiB/s 
Thread 23: 0.000072 s, 1.666208 GiB/s 
Thread 24: 0.000072 s, 1.666182 GiB/s 
Thread 25: 0.000072 s, 1.660628 GiB/s 
Thread 26: 0.000072 s, 1.667186 GiB/s 
Thread 27: 0.000072 s, 1.663295 GiB/s 
Executable:./../bin/adapt_membench_jacobi_3d_B25pt,wss:3670016,num_threads:28,ntimes:1000,
NumberOfThreads:28,n(elements):20.000000,AvgTestRunTime(s):0.000072,CumulativeMemoryBandwidth(GiB/s):46.488924,TotalRunTime(s):0.071799,WSS(MiB):3.417969,
Thread 0: 0.000101 s, 1.367169 GiB/s 
Thread 1: 0.000084 s, 1.649584 GiB/s 
Thread 2: 0.000084 s, 1.650969 GiB/s 
Thread 3: 0.000135 s, 1.024011 GiB/s 
Thread 4: 0.000084 s, 1.649973 GiB/s 
Thread 5: 0.000084 s, 1.648705 GiB/s 
Thread 6: 0.000134 s, 1.032587 GiB/s 
Thread 7: 0.000106 s, 1.307570 GiB/s 
Thread 8: 0.000084 s, 1.647113 GiB/s 
Thread 9: 0.000084 s, 1.651776 GiB/s 
Thread 10: 0.000122 s, 1.126885 GiB/s 
Thread 11: 0.000097 s, 1.429121 GiB/s 
Thread 12: 0.000097 s, 1.428699 GiB/s 
Thread 13: 0.000084 s, 1.651275 GiB/s 
Thread 14: 0.000084 s, 1.647568 GiB/s 
Thread 15: 0.000084 s, 1.652483 GiB/s 
Thread 16: 0.000084 s, 1.647214 GiB/s 
Thread 17: 0.000128 s, 1.077761 GiB/s 
Thread 18: 0.000083 s, 1.652704 GiB/s 
Thread 19: 0.000135 s, 1.025762 GiB/s 
Thread 20: 0.000122 s, 1.127377 GiB/s 
Thread 21: 0.000084 s, 1.652136 GiB/s 
Thread 22: 0.000122 s, 1.126900 GiB/s 
Thread 23: 0.000083 s, 1.653691 GiB/s 
Thread 24: 0.000084 s, 1.652143 GiB/s 
Thread 25: 0.000084 s, 1.651396 GiB/s 
Thread 26: 0.000084 s, 1.651317 GiB/s 
Thread 27: 0.000123 s, 1.125689 GiB/s 
Executable:./../bin/adapt_membench_jacobi_3d_B25pt,wss:4194304,num_threads:28,ntimes:1000,
NumberOfThreads:28,n(elements):21.000000,AvgTestRunTime(s):0.000137,CumulativeMemoryBandwidth(GiB/s):28.185995,TotalRunTime(s):0.137089,WSS(MiB):3.956726,
Thread 0: 0.000084 s, 1.644106 GiB/s 
Thread 1: 0.000084 s, 1.647879 GiB/s 
Thread 2: 0.000084 s, 1.651639 GiB/s 
Thread 3: 0.000084 s, 1.646546 GiB/s 
Thread 4: 0.000084 s, 1.646485 GiB/s 
Thread 5: 0.000084 s, 1.649850 GiB/s 
Thread 6: 0.000084 s, 1.646424 GiB/s 
Thread 7: 0.000097 s, 1.417874 GiB/s 
Thread 8: 0.000084 s, 1.646891 GiB/s 
Thread 9: 0.000084 s, 1.645494 GiB/s 
Thread 10: 0.000084 s, 1.646926 GiB/s 
Thread 11: 0.000084 s, 1.647886 GiB/s 
Thread 12: 0.000084 s, 1.648344 GiB/s 
Thread 13: 0.000084 s, 1.646920 GiB/s 
Thread 14: 0.000084 s, 1.646273 GiB/s 
Thread 15: 0.000084 s, 1.644966 GiB/s 
Thread 16: 0.000084 s, 1.645301 GiB/s 
Thread 17: 0.000084 s, 1.648055 GiB/s 
Thread 18: 0.000084 s, 1.647559 GiB/s 
Thread 19: 0.000084 s, 1.645506 GiB/s 
Thread 20: 0.000094 s, 1.471434 GiB/s 
Thread 21: 0.000084 s, 1.648080 GiB/s 
Thread 22: 0.000084 s, 1.649367 GiB/s 
Thread 23: 0.000084 s, 1.648630 GiB/s 
Thread 24: 0.000084 s, 1.647995 GiB/s 
Thread 25: 0.000084 s, 1.646031 GiB/s 
Thread 26: 0.000084 s, 1.648178 GiB/s 
Thread 27: 0.000084 s, 1.644856 GiB/s 
Executable:./../bin/adapt_membench_jacobi_3d_B25pt,wss:4718592,num_threads:28,ntimes:1000,
NumberOfThreads:28,n(elements):21.000000,AvgTestRunTime(s):0.000108,CumulativeMemoryBandwidth(GiB/s):35.776016,TotalRunTime(s):0.108005,WSS(MiB):3.956726,
Thread 0: 0.000093 s, 1.704414 GiB/s 
Thread 1: 0.000094 s, 1.688724 GiB/s 
Thread 2: 0.000094 s, 1.687662 GiB/s 
Thread 3: 0.000094 s, 1.689424 GiB/s 
Thread 4: 0.000094 s, 1.686936 GiB/s 
Thread 5: 0.000094 s, 1.687537 GiB/s 
Thread 6: 0.000094 s, 1.685489 GiB/s 
Thread 7: 0.000094 s, 1.686510 GiB/s 
Thread 8: 0.000096 s, 1.658463 GiB/s 
Thread 9: 0.000094 s, 1.687599 GiB/s 
Thread 10: 0.000094 s, 1.689138 GiB/s 
Thread 11: 0.000094 s, 1.690085 GiB/s 
Thread 12: 0.000094 s, 1.689758 GiB/s 
Thread 13: 0.000095 s, 1.670086 GiB/s 
Thread 14: 0.000094 s, 1.687985 GiB/s 
Thread 15: 0.000094 s, 1.689415 GiB/s 
Thread 16: 0.000094 s, 1.687947 GiB/s 
Thread 17: 0.000094 s, 1.687677 GiB/s 
Thread 18: 0.000094 s, 1.687850 GiB/s 
Thread 19: 0.000094 s, 1.688261 GiB/s 
Thread 20: 0.000094 s, 1.689459 GiB/s 
Thread 21: 0.000094 s, 1.686642 GiB/s 
Thread 22: 0.000094 s, 1.688650 GiB/s 
Thread 23: 0.000094 s, 1.688118 GiB/s 
Thread 24: 0.000094 s, 1.689205 GiB/s 
Thread 25: 0.000094 s, 1.690778 GiB/s 
Thread 26: 0.000096 s, 1.658785 GiB/s 
Thread 27: 0.000094 s, 1.686846 GiB/s 
Executable:./../bin/adapt_membench_jacobi_3d_B25pt,wss:5242880,num_threads:28,ntimes:1000,
NumberOfThreads:28,n(elements):22.000000,AvgTestRunTime(s):0.000096,CumulativeMemoryBandwidth(GiB/s):46.412462,TotalRunTime(s):0.095722,WSS(MiB):4.549316,
Thread 0: 0.000108 s, 1.673278 GiB/s 
Thread 1: 0.000108 s, 1.676168 GiB/s 
Thread 2: 0.000108 s, 1.675904 GiB/s 
Thread 3: 0.000108 s, 1.675097 GiB/s 
Thread 4: 0.000108 s, 1.673224 GiB/s 
Thread 5: 0.000108 s, 1.673222 GiB/s 
Thread 6: 0.000153 s, 1.186008 GiB/s 
Thread 7: 0.000147 s, 1.232125 GiB/s 
Thread 8: 0.000172 s, 1.053093 GiB/s 
Thread 9: 0.000156 s, 1.158658 GiB/s 
Thread 10: 0.000108 s, 1.671421 GiB/s 
Thread 11: 0.000160 s, 1.132931 GiB/s 
Thread 12: 0.000108 s, 1.674078 GiB/s 
Thread 13: 0.000121 s, 1.494387 GiB/s 
Thread 14: 0.000108 s, 1.674069 GiB/s 
Thread 15: 0.000160 s, 1.133115 GiB/s 
Thread 16: 0.000134 s, 1.351347 GiB/s 
